brand,model,color,gearshift_type,fuel_source
Mercedes-Benz,AMG,Black,Automatic,Electric
Mercedes-Benz,E Class,Yellow,Manual,Diesel
Mercedes-Benz,C Class,Green,Automatic,Electric
BMW,Series 3,Light Gray,Automatic,Petrol
Audi,A1,Green,Manual,Diesel
Audi,A4,Blue,Automatic,Electric
Mercedes-Benz,C Class,Orange,Manual,Petrol
Audi,A1,Gray,Automatic,Diesel
BMW,Series 3,Green,Automatic,Diesel
Audi,TT,Light Gray,Manual,Petrol
Audi,A1,Orange,Manual,Diesel
BMW,Series 7,Dark Gray,Manual,Diesel
Mercedes-Benz,AMG,Orange,Automatic,Electric
Mercedes-Benz,AMG,Green,Manual,Petrol
Mercedes-Benz,E Class,Dark Gray,Automatic,Electric
Audi,TT,Light Gray,Manual,Electric
Audi,A1,Black,Manual,Diesel
BMW,Series 3,Red,Automatic,Petrol
Audi,A1,Blue,Manual,Diesel
Audi,A4,Gray,Automatic,Diesel
Audi,A1,Yellow,Automatic,Diesel
Audi,A1,Orange,Manual,Petrol
Mercedes-Benz,AMG,Dark Gray,Manual,Diesel
Audi,A4,Light Gray,Automatic,Electric
BMW,Series 3,Gray,Automatic,Diesel
BMW,Series 3,Light Gray,Manual,Electric
Audi,A4,Yellow,Automatic,Petrol
BMW,Series 7,White,Manual,Diesel
Audi,A1,Orange,Automatic,Petrol
Mercedes-Benz,E Class,Orange,Manual,Petrol
BMW,Series 7,Yellow,Manual,Diesel
BMW,Series 3,Black,Automatic,Petrol
BMW,Series 7,Gray,Manual,Electric
BMW,Series 7,Yellow,Automatic,Electric
Audi,A1,Dark Gray,Automatic,Electric
BMW,Series 7,Orange,Manual,Electric
Mercedes-Benz,E Class,Black,Manual,Diesel
BMW,Series 3,Red,Manual,Petrol
BMW,Series 7,Light Gray,Automatic,Petrol
Mercedes-Benz,E Class,Blue,Manual,Electric
Audi,TT,Orange,Automatic,Diesel
Audi,A4,Yellow,Manual,Diesel
BMW,Series 3,Light Gray,Automatic,Diesel
Audi,A4,Black,Manual,Petrol
Audi,TT,Gray,Manual,Diesel
Mercedes-Benz,AMG,Blue,Automatic,Petrol
BMW,Series 7,Yellow,Manual,Petrol
Audi,TT,Gray,Automatic,Diesel
Mercedes-Benz,AMG,Blue,Manual,Diesel
BMW,Series 3,Green,Automatic,Diesel
Mercedes-Benz,E Class,Yellow,Manual,Petrol
Audi,TT,Light Gray,Automatic,Petrol
BMW,Series 3,Red,Manual,Diesel
Mercedes-Benz,C Class,White,Manual,Petrol
BMW,Series 3,Dark Gray,Automatic,Diesel
Mercedes-Benz,E Class,White,Manual,Diesel
Audi,TT,Yellow,Automatic,Petrol
Audi,A4,Red,Automatic,Diesel
Mercedes-Benz,C Class,Dark Gray,Manual,Electric
Audi,A1,White,Manual,Diesel
Mercedes-Benz,AMG,Dark Gray,Manual,Diesel
Audi,A4,Yellow,Manual,Diesel
BMW,Series 7,Black,Manual,Petrol
Audi,A1,Green,Automatic,Electric
BMW,Series 5,Black,Manual,Petrol
Mercedes-Benz,AMG,Red,Manual,Diesel
Audi,A4,Light Gray,Automatic,Diesel
Audi,TT,Red,Manual,Diesel
